Bereich,HK_Code,HK_Titel,Leitfragen_Code,Praxisauftrag,Lehrjahr_Praxis,Leitfrage,Leistungsziel_Betrieb,Leistungsziel_UeK,BoK_Detail
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d2,Informations- und Beratungsgespräche mit Kunden oder Lieferanten führen,d2.4,"Beratungsgespräche (auf digitalen Kanälen) professionell führen
",2,Führe ich Beratungsgespräche über digitale Kanäle mit allen Kunden fachkundig und professionell?,"d2.bank.bt2
Sie erfassen die Bedürfnisse von Bankkunden im digitalen Bereich. (K3)

d2.bank.bt5
Sie beraten die Bankkunden über digitale Kanäle und beantworten Anfragen von Kunden zu Banklösungen und Tools kompetent.

d2.bank.bt7
Sie prüfen und sprechen bei Anfragen Cross-Selling-Möglichkeiten aktiv an. (K4) 

","d2.bank.ük2
Sie beschreiben die Bankangebote und können sie über digitale Kanäle erklären. 

d2.bank.ük3
Sie wenden die Grundlagen der digitalen Beratung bei der Bank an. ","d2.bank.ük2
• Bankangebote gem. d3.bank.ük2/3/4/5/6, d1.bank.ük3 erläutern
• Visualisierungen und Erklärungen den digitalen Möglichkeiten anpassen 
• Lösungsmöglichkeiten bei gängigen technischen Problemen kundengerecht erklären
d2.bank.ük3
• Ablauf der digitalen Beratung erklären
• Verhaltensregeln betreffend digitaler Beratung kennen
• Vorbereitung (Fach, Technik, Kunde)
• Gesprächseröffnung (technische Hürden kennen und mögliche Problemlösungen erläutern, positiver Einstieg)
• Bedarfsermittlung (geeignete Fragen formulieren, erhaltene Informationen digital festhalten)
• Kundenspezifisches Angebot (digitale Visualisierungshilfen, Vorteil vs. Nutzen)
• Abschluss (mit geeigneter Fragetechnik digital einleiten)
• Cross-Selling (mögliche Nebenthemen auch im digitalen Gespräch erkennen und Lösungen anbieten)
• Kontaktsicherung (digitaler Folgetermin anbieten, weitere Informationen liefern, Verbindlichkeit schaffen)
• Gesprächsanalyse (Verarbeitung von Pendenzen und Feedbacks von Kunde, weitere Stellen in Prozess involvieren)"
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d3,Verkaufs- und Verhandlungsgespräche mit Kunden oder Lieferanten führen,d3.1,Beratungsgespräche (auf digitalen Kanälen) vorbereiten,2,Bereite ich alle notwendigen Grundlagen für ein Beratungsgespräch ausreichend vor?,"d3.bank.bt1
Sie setzen die betrieblichen Vorgaben und Compliance-Richtlinien im Kontakt mit Bankkunden sorgfältig um. (K3)

d3.bank.bt7
Sie führen die administrativen Tätigkeiten aus und koordinieren involvierte Schnittstellen. (K3)","d3.bank.ük1
Sie erklären die wichtigsten regulatorischen Grundlagen für die Beratung von Bankkunden. ","d3.bank.ük1
• Regulatorische Grundlagen vgl. b1.bank.ük1/2
• Fokus: FINIG, FIDLEG, FINMAG, FinfraG, KAG, KKG (Ziele und zentrale Inhalte), VSB 
• AGB"
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d3,Verkaufs- und Verhandlungsgespräche mit Kunden oder Lieferanten führen,d3.2,Beratungsgespräche (auf digitalen Kanälen) professionell führen,2,"Gelingt es mir, Beratungsgespräche erfolgsversprechend und dienstleistungsorientiert zu führen?","d3.bank.bt2
Sie führen einen gesamtheitlichen Beratungsprozess. (K6)

d3.bank.bt3
Sie erklären Bankkunden die technologischen Möglichkeiten von Bankangeboten. (K3)

d3.bank.bt4
Sie prüfen und sprechen Cross-Selling-Möglichkeiten im Kontakt mit Bankkunden aktiv an. (K4)

d3.bank.bt6
Sie leiten die Bankkunden und deren Bedürfnisse situationsgerecht an die passenden Partner weiter. (K4)

d3.bank.bt8
Sie berücksichtigen bei ihren Tätigkeiten die Schonung der Ressourcen und die Einsparung von Energie. (K3)","d3.bank.ük2
Sie vergleichen die Produkte, Dienstleistungen und Vorgaben für Privatkunden im Bereich Basisdienstleistungen. 

d3.bank.ük3
Sie vergleichen die Produkte, Dienstleistungen und Vorgaben für Privatkunden im Bereich Vorsorge.  

d3.bank.ük4
Sie vergleichen die Produkte, Dienstleistungen und Vorgaben für Privatkunden im Bereich Anlegen. 

d3.bank.ük5
Sie vergleichen die Produkte, Dienstleistungen und Vorgaben für Privatkunden im Bereich Finanzieren. 

d3.bank.ük6
Sie beschreiben gängige digitale Bankprodukte.

d3.bank.ük7
Sie beschreiben gängige nachhaltige Finanzprodukte und deren Vor- und Nachteile. 

d3.bank.ük9
Sie verknüpfen ihre Beratungskompetenz mit dem Fachwissen Branche Bank unter Berücksichtigung der Nachhaltigkeitsthematik.","d3.bank.ük2
• Kontosortiment inkl. Preisgestaltung
• Zahlungsverkehrsprodukte (Kartensortiment, Zahlungsaufträge, digitale Lösungen vgl. d3.bank.ük6)
• Zahlungsverkehrssysteme (SIC, euroSIC)
• Zahlungsverkehrsstandards (SEPA, IBAN)
• Kommunikationssystem SWIFT (Nostro- und Vostro-Konto)
• Währungen (Noten, Devisen, Wechselkurse inkl. Berechnung)
3.bank.ük3
• Vorsorgesystem der Schweiz (Ziele, Zweck, Finanzierung, Leistungen der drei Säulen, Entwicklung und Herausforderungen)
• Kontoprodukte und Anlageformen 2. und 3. Säule
• Ordentliche und ausserordentliche Ein-/Auszahlungen von Vorsorgegelder inkl. steuerliche Auswirkungen
d3.bank.ük4
• Anlagepolitik der eigenen Bank
• Primär-/Sekundärmarkt und Finanzinstrumente unterscheiden:
o Laufzeit: Geld- und Kapitalmarkt
o Rechte und Pflichten: Forderungspapiere, Beteiligungspapiere, Derivative Instrumente
o Art der Anlage: Konventionelle und alternative Anlagen
• Gläubiger- und Beteiligungspapiere (Namenaktien, Partizipationsscheine, Genussscheine, Genossenschaftsanteile, Straight Bonds, Pfandbriefe)
• Anlagefonds (Arten nach KAG, aktives und passives Management, beteiligte Parteien, Inhalte Factsheets ohne Kennzahlen)
• Geldmarktinstrumente (Unterschied Zins- und Diskontpapiere, in der Schweiz gebräuchliche Geldmarktanlagen)
• Edelmetalle (Eigenschaften und Risiken von direkten und indirekten Anlagen, Fokus Gold)
• Kennzahlen interpretieren und berechnen (Rating, Rendite auf Verfall, Aktienrendite, Dividendenrendite, Kurs-Gewinn-Verhältnis, Börsenkapitalisierung)
• SIX Die Schweizer Börse (Aufgaben und Organisation, Ablauf Börsenauftrag, Auftragsarten, Börsenabrechnung, Indizes)
• Anlegerprofil, Anlagestrategien, magisches Dreieck
• Depotanalyse hinsichtlich Risiken und Anlagestrategie mit Ableitung einer Empfehlung/Anlagevorschlag für Kunde (keine Einzeltitel, Fokus auf Anlagefonds oder Vermögensverwaltungsmandate vgl. d4.bank.ük2)
• Aufbewahrung und Verwaltung von Vermögenswerten (SIX SIS, Bucheffektengesetz)
d3.bank.ük5
• Kreditpolitik der eigenen Bank
• Ablauf Kreditgeschäft (alle Phasen inkl. Rückführung durch Amortisation und Annuität)
• Bonitätsprüfung (Kreditwürdigkeit und -fähigkeit)
• Rating und Risk Adjusted Pricing 
• Kreditformen (Darlehen, Fester Vorschuss, Kontokorrent)
• Kreditarten 
• Grundpfandkredite (Baukredit, Hypotheken)
o Grundbuchauszug (Eigentum und dingliche Rechte)
o Papier- und Registerschuldbrief
o Grundstückbewertung und -belehnung
o Finanzierungsplan und Tragbarkeitsberechnung (Eigenmittelvorschriften, Verpfändung und Bezug 2./3. Säule mit steuerlichen Auswirkungen, WEF)
• Faustpfandkredite (Lombardkredit, Belehnungsrichtlinien, Nach- und Eindeckung, freihändiges Verwertungsrecht)
• Personalkredite
o Gedeckt (Bürgschaft)
o Ungedeckt (Konsum-/Privatkredit, KKG, Unterschiede und Abgrenzung zu Leasing)
d3.bank.ük6
• Nutzen und Risiken von E-Banking, Mobile Banking, Mobile Payment
• Aktuelle Apps und digitale Angebote der Schweizer Banken
• vgl. auch d1.bank.ük3, d2.bank.ük2 und b3.bank.ük4

d3.bank.ük7
• Sustainable Funds, Green Bonds, Impact Investing, Microfinance, Active Ownership, Credits for Sustainable Projects
• Quelle: https://www.sustainablefinance.ch/
d3.bank.ük9
• Beratungsprozess der eigenen Bank erläutern
• Beratungsunterlagen der eigenen Bank kennen und einsetzen
• Bedeutung der Bedürfnisabklärung aufzeigen und Kundenbedürfnisse in Lösungsvorschlag einfliessen lassen
• Fragetechniken anwenden
• Nachhaltigkeitspräferenzen des Kunden erfragen
• Fachausdrücke kundengerecht erklären und Fachwissen im Kontakt mit Kunden gezielt einsetzen
• Kundennutzen sowie Vor- und Nachteile der Produkte und Dienstleistungen aufzeigen
• Angebot machen und Abschluss erzielen, Cross Selling 
• Kundenreklamationen bearbeiten, kritische Bemerkungen und Einwände entkräften
• Regelmässige Reflexion der eigenen Beratungskompetenz"
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d3,Verkaufs- und Verhandlungsgespräche mit Kunden oder Lieferanten führen,d3.3,Einwände behandeln,2,Gelingt es mir Verhandlungsgespräche konstruktiv zu führen?,"d3.bank.bt5
Sie beurteilen anhand von volkswirtschaftlichen sowie marktwirtschaftlichen Entwicklungen und betrieblichen Vorgaben die situationsgerechten Auswirkungen auf die Beratung für Bankkunden. (K6) ","d3.bank.ük8
Sie beurteilen die Auswirkungen volkswirtschaftlicher und marktwirt-schaftlicher Entwicklungen auf die Beratung für Bankkunden. ","d3.bank.ük8
• Grundlage b3.bank.ük3/4/8/9 
• Visualisierungen, Hilfsmittel und Quellen
• Regelmässige Marktbeobachtung
o Indikatoren gem. b3.bank.ük8/9 (z.B. Leitzinsen, Arbeitslosigkeit, Währungsentwicklung) identifizieren
o Auswirkungen auf andere Parameter darlegen
o Prognosen ableiten und fundiert argumentieren"
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d3,Verkaufs- und Verhandlungsgespräche mit Kunden oder Lieferanten führen,d3.4,,,"Gelingt es mir, Beratungs- und Verhandlungsgespräche im richtigen Moment professionell und freundlich abzuschliessen?",,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d3,Verkaufs- und Verhandlungsgespräche mit Kunden oder Lieferanten führen,d3.5, ,,Bereite ich Beratungs- und Verhandlungsgespräche entsprechend dem Ergebnis zielführend nach?,,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d3,Verkaufs- und Verhandlungsgespräche mit Kunden oder Lieferanten führen,d3.6,,,"Gelingt es mir, Beratungs- und Verhandlungsgespräche konstruktiv auszuwerten?",,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d4,Beziehungen mit Kunden oder Lieferanten pflegen,d4.1,Beziehungen aufbauen,2,"Informiere ich mich umfassend darüber, wie ich Beziehungen zu Kunden oder Lieferanten in meinem Betrieb aufbauen und pflegen kann?","d4.bank.bt1
Sie setzen die betrieblichen Vorgaben und Compliance-Richtlinien im Kontakt mit Bankkunden mit komplexen Bedürfnissen sorgfältig um. (K3)
","d4.bank.ük1
Sie erklären die wichtigsten regulatorischen Grundlagen für die Betreu-ung von Bankkunden mit komplexen Bedürfnissen. 
","d4.bank.ük1
• Komplexe Kunden = vermögende und kommerzielle Kunden, ausländische Kunden (natürliche und juristische Personen)
• Regulatorische Grundlagen vgl. b1.bank.ük1/2/3
• Fokus: FINIG, FIDLEG, FINMAG, FinfraG, KAG, KKG (Ziele und zentrale Inhalte), VSB, internationale Abkommen z.B. AIA, FATCA
• AGB "
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d4,Beziehungen mit Kunden oder Lieferanten pflegen,d4.2,Beziehungen pflegen,2,"Unterstütze ich den/die Kundenberater/in wirkungsvoll dabei, die Beziehungen im Berufskontext für sein/ihr Gegenüber stets zufriedenstellend und vertrauensfördernd zu gestalten?","d4.bank.bt2
Sie koordinieren effizient Termine und bereiten Kundengespräche mit Bankkunden mit komplexen Bedürfnissen zielführend vor. (K3)

d4.bank.bt3
Sie analysieren die volkswirtschaftlichen und marktwirtschaftlichen Entwicklungen und beziehen diese sowie betrieblichen Vorgaben in die Vorbereitung der Kundengespräche ein. (K4)

d4.bank.bt6
Sie führen administrative Tätigkeiten für Kundenberater mit Bankkunden mit komplexen Bedürfnissen aus und koordinieren die notwendigen Schnittstellen selbständig. (K3)","d4.bank.ük3
Sie wenden Methoden an, um ein Kundengespräch mit Bankkunden mit komplexen Bedürfnissen ziel-führend vorzubereiten.  

d4.bank.ük4
Sie analysieren Geschäftsabschlüsse entsprechend Vorgaben der Kundenberater von Geschäfts- und Unternehmenskunden zielorientiert.","d4.bank.ük3
• Vertrauenswürdige Informationsquellen (intern und extern) anwenden und unverlässliche Quellen erkennen
• Strukturierung von Unterlagen
• Priorisierung und Planung der Arbeitsschritte
• Digitale Hilfsmittel und Tools
• Schnittstellen zu anderen Prozessen und Abteilungen
• Termine und Qualitätsvorgaben
• Laufende Reflexion der angewendeten Methoden
d4.bank.ük4
• Bonitätsprüfung (Unterlagen und Kriterien zur Beurteilung der Kreditwürdigkeit und -fähigkeit, Faustregeln) 
• Bilanzkennzahlen berechnen und interpretieren
o Liquiditätsgrad II (Zahlungsbereitschaft)
o Anlagedeckungsgrad II (goldene Bilanzregel)
o Eigen- und Fremdfinanzierungsgrad (Kapitalstruktur)
• Erfolgsbezogene Kennzahlen interpretieren
o Eigenkapitalrendite
o Cashflow
• Auswirkungen auf Rating und Risk Adjusted Pricing"
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d4,Beziehungen mit Kunden oder Lieferanten pflegen,d4.3,"Feedback nutzen
",2,"Helfe ich konstruktiv mit, die Beziehung zu meinen Kunden und Lieferanten längerfristig (auf Dauer?) zu pflegen?
","d4.bank.bt4
Sie informieren Bankkunden mit komplexen Bedürfnissen und dessen Berater über die gängigsten Bankangebote. (K3)

d4.bank.bt5
Sie erklären Bankkunden mit komplexen Bedürfnissen die technologischen Möglichkeiten von Bankdienstleistungen und -produkten. (K3)","d4.bank.ük2
Sie erklären die Bankangebote und Vorgaben für Bankkunden mit komplexen Bedürfnissen im Bereich Basisdienstleistungen, Anlegen, Finanzieren und Vorsorge.

d4.bank.ük5
Sie leiten anhand von volkswirtschaftlichen und marktwirtschaftlichen Entwicklungen die Auswir-kungen auf Produkte im Bereich Anlegen und Vorsorge für Bankkunden mit komplexen Bedürfnissen ab.  ","d4.bank.ük2
• Grundlagen gem. d3.bank.ük2/3/4/5/6 
• Devisen (Kassa, Termin, Swap)
• Optionen (Arten (Eurex, Warrants, OTC), Grundstrategien mit Payoff-Diagrammen, innerer Wert und Zeitwert)
• Strukturierte Produkte (Definition, Kategorien gem. Swiss Derivative Map mit Beispiel und Markterwartung)
• Vermögensverwaltungsmandate und Portfoliomanagement mit Berücksichtigung der Nachhaltigkeitsaspekte, vgl. d3.bank.ük7
• Steueroptimierungen im Rahmen der Finanz- und Pensionsplanung sowie im Hypothekarbereich (vgl. d3.bank.ük5)
• Basisdienstleistungen gem. d3.bank.ük2 für Firmenkunden
• Ungedeckte Kredite an Firmenkunden (Ablauf Kreditgeschäft, Bonitätsprüfung vgl. d4.bank.ük4, Kreditform zur Auszahlung, Sicherungsklauseln)
• Kapitalbeschaffung Firmenkunden (Eigen- und Fremdkapital)
o IPO und Aktienkapitalerhöhung (Ablauf, Verwässerung und Bedeutung Bezugsrechte)
o Emission von Anleihen (Ablauf, Platzierungsformen)
o Aufgaben einer Investment Bank
d4.bank.ük5
• Grundlage b3.bank.ük3/4/8/9 
• Visualisierungen, Hilfsmittel und Quellen
• Charts interpretieren und Quellen hinterfragen
• Regelmässige Marktbeobachtung
o Indikatoren gem. b3.bank.ük8/9 (z.B. Leitzinsen, Ar-beitslosigkeit, Währungsentwicklung) identifizieren
o Auswirkungen auf andere Parameter darlegen
o Prognosen ableiten und fundiert argumentieren"
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d4,Beziehungen mit Kunden oder Lieferanten pflegen,d4.4,,,"Gelingt es mir, entsprechende Verbesserungsmassnahmen aus dem Kundenfeedback und der Reflexion für die Zukunft abzuleiten und erfolgsversprechend umzusetzen?",,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d5,"Anspruchsvolle Beratungs-, Verkaufs- und Verhandlungssituationen mit Kunden oder Lieferanten in der Landessprache gestalten (Option «Standardsprache»)",d5.1,Reklamationsgespräche erfolgreich führen,3, Gestalte ich anspruchsvolle Beratungsgespräche professionell?,,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d5,"Anspruchsvolle Beratungs-, Verkaufs- und Verhandlungssituationen mit Kunden oder Lieferanten in der Landessprache gestalten (Option «Standardsprache»)",d5.2,Anspruchsvolle Beratungsgespräche gestalten,3,Führe ich anspruchsvolle Verkaufsgespräche ergebnisorientiert?,,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d5,"Anspruchsvolle Beratungs-, Verkaufs- und Verhandlungssituationen mit Kunden oder Lieferanten in der Landessprache gestalten (Option «Standardsprache»)",d5.3,Herausfordernde Verkaufsgespräche führen,3,"Gelingt es mir, anspruchsvolle Verhandlungsgespräche systematisch zu führen?",,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d6,"Anspruchsvolle Beratungs-, Verkaufs- und Verhandlungssitua-tionen mit Kunden oder Lieferanten in der Fremdsprache gestalten (Option «Fremdsprache»)",d6.1,Reklamationsgespräche in der Fremdsprache erfolgreich führen,3, Gestalte ich anspruchsvolle Beratungsgespräche in der Fremdsprache professionell?,,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d6,"Anspruchsvolle Beratungs-, Verkaufs- und Verhandlungssitua-tionen mit Kunden oder Lieferanten in der Fremdsprache gestalten (Option «Fremdsprache»)",d6.2,Anspruchsvolle Beratungsgespräche in der Fremdsprache gestalten,3,Führe ich anspruchsvolle Verkaufsgespräche in der Fremdsprache ergebnisorientiert?,,,
d. Gestalten von Kunden- oder Lieferantenbeziehungen,d6,"Anspruchsvolle Beratungs-, Verkaufs- und Verhandlungssitua-tionen mit Kunden oder Lieferanten in der Fremdsprache gestalten (Option «Fremdsprache»)",d6.3,Herausfordernde Verkaufsgespräche in der Fremdsprache führen,3,"Gelingt es mir, anspruchsvolle Verhandlungsgespräche in der Fremdsprache systematisch zu führen?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e2,Informationen im wirtschaftlichen und kaufmännischen Bereich recherchieren und auswerten,e2.4,,,Dokumentiere ich meine Rechercheergebnisse in geeigneter Weise?,"e2.bank.bt1
Sie erläutern den Unternehmenszweck und das Dienstleistungsangebot ihres Betriebs. (K2)
",,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e2,Informationen im wirtschaftlichen und kaufmännischen Bereich recherchieren und auswerten,e2.5,,,"Gelingt es mir, mein eigenes Vorgehen laufend zu analysieren und zu optimieren?","e2.bank.bt4
Sie kommunizieren gemäss dem betrieblichen Informations- und Kommunikationskonzept. (K3)",,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e3,Markt- und betriebsbezogene Statistiken und Daten auswerten und aufbereiten,e3.3,Quantitative Auswertung durchführen,2,"Bin ich in der Lage, quantitative Auswertungen sauber durchzuführen?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e3,Markt- und betriebsbezogene Statistiken und Daten auswerten und aufbereiten,e3.4,Ergebnisse interpretieren,2,Interpretiere ich Ergebnisse aus Analysen und Auswertungen plausibel?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e4,Betriebsbezogene Inhalte multimedial aufbereiten,e4.1,Aufbereitungsauftrag abholen und ausführen,2,"Bin ich in der Lage, die Ansprüche an eine multimediale Aufbereitung vollständig zu klären?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e4,Betriebsbezogene Inhalte multimedial aufbereiten,e4.2,Vorlage erstellen,2,"Gelingt es mir, Inhalte für eine Medienaufbereitung vollständig abzuholen?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e4,Betriebsbezogene Inhalte multimedial aufbereiten,e4.3,Qualität überprüfen,2,Bereite ich multimediale Inhalte gemäss betrieblichen Standards professionell auf?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e4,Betriebsbezogene Inhalte multimedial aufbereiten,e4.4,,,"Bin ich in der Lage, geeignete Vorlagen für Medienformate zu erstellen?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e4,Betriebsbezogene Inhalte multimedial aufbereiten,e4.5,,,"Gelingt es mir, die Qualität von betrieblichen Medienbeiträgen zuverlässig zu überprüfen?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e5,Technologien im kaufmännischen Bereich einrichten und betreuen (Option «Technologie»),e5.1,Inhaltsverwaltungssystem aufsetzen und betreuen,3,Gehe ich fachkundig mit Datenbanken und Inhaltsverwaltungssystemen in meinem Betrieb um?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e5,Technologien im kaufmännischen Bereich einrichten und betreuen (Option «Technologie»),e5.2,,,Führe ich neue Applikationen in meinem Team verständlich ein?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e5,Technologien im kaufmännischen Bereich einrichten und betreuen (Option «Technologie»),e5.3,,,Leiste ich hilfsbereiten Support bei meinen Arbeitskollegen?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e5,Technologien im kaufmännischen Bereich einrichten und betreuen (Option «Technologie»),e5.4,,,Setze ich mich aktiv mit Angeboten von technischer Infrastruktur auseinander?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e6,Grosse Datenmengen im Unternehmen auftragsbezogen auswerten (Option «Technologie»),e6.1,Grosse Datenmengen bereinigen und aufbereiten,3,Bereite ich die Auswertung grosser Datenmengen ganzheitlich vor?,,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e6,Grosse Datenmengen im Unternehmen auftragsbezogen auswerten (Option «Technologie»),e6.2,,,"Gelingt es mir, grosse Datenmengen aussagekräftig auszuwerten?",,,
e. Einsetzen von Technologien der digitalen Arbeitswelt,e6,Grosse Datenmengen im Unternehmen auftragsbezogen auswerten (Option «Technologie»),e6.3,,,Bereite ich meine Ergebnisse adressatengerecht und verständlich auf?,,,
